date	length	volume	difficulty	effort	time	bugs	proj_name
2014-07-05	44284	641934.44	16.34	10489110.90	582728.38	213.98	django
2014-03-03	44565	646357.46	16.35	10565955.57	586997.53	215.45	django
2013-11-13	42941	620372.20	16.39	10167625.08	564868.06	206.79	django
2013-07-31	39750	569756.82	16.41	9347366.38	519298.13	189.92	django
2013-04-01	40443	580762.45	16.39	9515937.39	528663.19	193.59	django
2012-12-10	41443	596039.49	16.54	9857582.64	547643.48	198.68	django
2012-08-15	40558	581829.38	16.60	9660164.12	536675.78	193.94	django
2012-03-02	41329	594033.00	17.25	10247636.80	569313.16	198.01	django
2011-07-25	38627	551441.05	17.25	9509602.55	528311.25	183.81	django
2011-01-21	36444	517414.56	17.17	8886162.77	493675.71	172.47	django
2010-09-10	31216	436295.22	17.14	7480142.47	415563.47	145.43	django
2010-01-10	31091	434013.53	17.28	7501654.89	416758.60	144.67	django
2009-03-24	27411	377749.61	17.26	6518177.29	362120.96	125.92	django
2008-08-29	24380	331937.84	17.22	5715886.89	317549.27	110.65	django
2008-06-12	19963	265928.77	17.29	4598780.45	255487.80	88.64	django
2007-09-14	18293	241368.87	17.34	4185689.47	232538.30	80.46	django
2007-03-12	14164	182057.04	15.73	2864387.10	159132.62	60.69	django
2006-07-07	12513	158828.15	15.55	2469877.66	137215.43	52.94	django
2005-11-17	10171	126419.50	15.20	1921560.22	106753.35	42.14	django
2005-07-13	0	0.00	0.00	0.00	0.00	0.00	django
